id,name,category,equipment,level,muscles_primary,muscles_secondary,form_guide,common_mistakes,safety_notes,progression_from,progression_to,video_url
pushup_incline,인클라인 푸쉬업,push,푸쉬업바,1,"대흉근, 전면삼각근",삼두근,"푸쉬업바를 높은 위치(인클라인)에 놓고 수행
손 위치는 어깨너비보다 약간 넓게, 팔꿈치 45도 유지
몸통 일직선 유지 — 엉덩이 올라가거나 허리 처지지 않게
내려갈 때 2초(흡기), 올라올 때 1초(호기) 템포 유지","허리 처짐 → 코어 긴장 유지, 배꼽을 척추 쪽으로 당기기
팔꿈치 과도하게 벌림(90도) → 45도 유지로 어깨 보호
머리 숙임/들어올림 → 시선은 바닥 약간 앞, 경추 중립","손목 통증 시 즉시 중단 — 푸쉬업바로 손목 중립 유지
어깨 통증 시 가동범위(ROM) 줄여서 수행",,pushup_standard,
dip_assisted,딥스 (보조),push,치닝디핑,1,"삼두근, 하부 대흉근",전면삼각근,"발을 받침대(의자/스텝)에 올려 체중 30-50% 보조
팔꿈치 90도까지만 내려감 — 과도한 깊이 금지
상체 약간 앞으로 기울여 대흉근 하부 활성화
올라올 때 팔꿈치 완전 잠금(lockout) 금지","팔꿈치 벌어짐 → 몸통에 가까이 유지
어깨 으쓱(shrug) → 견갑골 하방 고정
너무 깊이 내려가 어깨 압박 → 90도 이하로 제한","어깨 통증 시 가동범위 제한 또는 중단
초기에는 반드시 발 보조 사용 — 체중 조절이 핵심",,dip_standard,
plank_standard,플랭크,core,요가매트,1,"복직근, 복횡근","척추기립근, 둔근","팔꿈치를 어깨 바로 아래에 위치, 전완 바닥에 평행
머리-어깨-골반-발목 일직선 유지 — 거울로 확인
배꼽을 척추 쪽으로 당기는 느낌(복횡근 활성화)
호흡 멈추지 않기 — 정상 호흡 유지하며 버티기","엉덩이 올라감(역V자) → 골반 낮춰 일직선 맞추기
허리 처짐(새우등) → 복근+둔근 동시 수축
어깨 으쓱 → 견갑골 하방, 목 길게","허리 통증 시 즉시 중단 — 통증은 근육통과 다름
20초부터 시작, 무리하지 않기",,plank_side,
kb_swing_12,케틀벨 스윙 12kg,swing,케틀벨12,1,"둔근, 햄스트링","코어, 전완근, 척추기립근","힙힌지가 핵심 — 무릎이 아닌 고관절에서 접기
폭발적 고관절 신전으로 스윙, 팔이 아닌 골반 힘
스윙 정점(가슴 높이)에서 둔근 꽉 조이기(squeeze)
그립 단단히, 손목 중립, 시선은 정면","팔로 들어올림 → 팔은 진자, 힘은 고관절에서
라운드백(등 둥글게) → 가슴 들고 코어 긴장
스쿼트처럼 앉기 → 엉덩이를 뒤로 빼기(힙힌지)
오버스윙(머리 위) → 가슴 높이가 종점","허리 통증 시 즉시 중단, 힙힌지 패턴 재학습
주변 2m 공간 확보, 손 미끄러짐 방지(분필/타올)",,kb_swing_16,
dead_hang,매달리기,pull,치닝디핑,1,"전완근, 악력","광배근, 회전근개","어깨너비 오버핸드 그립으로 매달림
견갑골 하방 유지 — 어깨가 귀에 닿지 않게
코어 살짝 긴장, 몸 흔들림 최소화
30초 목표, 첫 주는 15초부터 시작","어깨 으쓱(passive hang) → 견갑골 하방(active hang)
몸 흔들림(kipping) → 정적 자세 유지
그립 너무 좁거나 넓음 → 어깨너비가 기본","손목/어깨 통증 시 즉시 내려옴
발 아래 매트 필수 — 미끄러짐 대비",,scap_pull,
squat_band,밴드 스쿼트,legs,밴드,1,"대퇴사두근, 둔근","햄스트링, 내전근, 중둔근","밴드를 무릎 위(대퇴부 하단)에 위치
발 어깨너비, 발끝 15-30도 바깥 방향
무릎이 밴드에 밀리지 않게 바깥으로 밀기(외전 활성화)
대퇴부 평행까지 내려간 후 둔근으로 올라오기","무릎 안쪽 모임(knee valgus) → 밴드에 저항하며 무릎 밖으로
상체 과도한 전경 → 가슴 들고 시선 정면
발뒤꿈치 들림 → 발바닥 전체로 균등 하중","무릎 통증 시 가동범위 줄임(하프 스쿼트)
균형 불안정 시 벽이나 의자 잡고 수행",,squat_bodyweight,
glute_bridge_band,밴드 힙 브릿지,legs,"밴드, 요가매트",1,둔근,"햄스트링, 코어","밴드를 무릎 위에 위치, 등은 매트에 누움
발은 어깨너비, 무릎 90도, 발바닥 바닥에 완전 밀착
둔근 수축으로 골반 들기 — 어깨-골반-무릎 일직선
정점에서 2초 유지 후 천천히 내리기","허리 과신전(과도한 아치) → 골반 후방경사 유지
무릎 안쪽 모임 → 밴드에 저항하며 무릎 바깥 밀기
둔근 대신 햄스트링 사용 → 발을 몸에 더 가까이","허리 통증 시 가동범위 줄이거나 밴드 제거
경추 부담 없도록 턱 당기고 목 중립 유지",,glute_bridge_single,
pushup_wide_incline,와이드 인클라인 푸쉬업,push,푸쉬업바,1,대흉근(특히 외측),"전면삼각근, 삼두근","인클라인 자세에서 손 간격을 어깨너비 1.5배로 확장
팔꿈치를 옆으로 벌려 가슴 스트레칭 극대화
내려갈 때 가슴이 푸쉬업바 사이로 깊이 들어가기
올라올 때 가슴 근육 수축 느끼며 2초 올라오기","너무 넓어 어깨 부담 → 1.5배가 최대
가슴 스트레칭 부족한 얕은 ROM → 끝까지 내려가기
허리 처짐 → 인클라인 푸쉬업과 동일 코어 긴장","어깨 통증 시 간격 좁히기 또는 기본 인클라인으로 대체
손목 불편 시 손가락 방향 약간 바깥으로 조정",pushup_incline,pushup_standard,
dead_bug,데드버그,core,요가매트,1,"복횡근, 복직근","골반저근, 장요근","등을 대고 누워 양팔 천장, 양무릎 90도 들기
허리를 바닥에 완전히 밀착(임프린트) — 손이 못 들어가게
대각선으로 한 팔+반대 다리를 바닥 쪽으로 천천히 뻗기
허리 떨림 없이 제어하며 원위치, 좌우 교대","허리가 바닥에서 뜸 → 임프린트 유지가 핵심
너무 빠른 속도 → 한 반복 4초(2초 뻗기 + 2초 돌아오기)
호흡 멈춤 → 뻗을 때 호기, 돌아올 때 흡기","허리 통증 시 다리만 뻗기(팔은 고정)
요추 불안정 있으면 가동범위를 50%로 제한",,dead_bug_alt,
scap_pull,견갑골 풀,pull,치닝디핑,1,"하부승모근, 능형근",광배근,"매달리기 자세에서 팔을 구부리지 않고 수행
견갑골만 아래+뒤로 당겨 몸이 2-3cm 올라감
정점에서 2초 유지 — 등 근육 수축 느끼기
천천히 풀어 매달리기로 복귀, 10회 반복","팔을 구부려 올라감 → 팔은 완전히 편 상태 유지
어깨 으쓱 → 견갑골 하방 의식적 유지
반동 사용 → 정적 수축으로만 수행","어깨 충돌 증후군 증상 시 중단
악력 부족하면 데드행 시간을 먼저 늘리기",dead_hang,pullup_negative,
calf_raise,카프 레이즈,legs,맨몸,1,"비복근, 가자미근",,"발 어깨너비, 발끝 정면, 벽이나 봉 잡고 균형
발뒤꿈치를 최대한 올려 종아리 수축 2초 유지
천천히 3초에 걸쳐 내려오기(에센트릭 강조)
20-25회 고반복으로 수행 — 종아리는 고반복 반응","반동 사용(바운싱) → 정점에서 멈추기
가동범위 부족 → 발뒤꿈치 끝까지 올리고 끝까지 내리기
발가락으로만 밀기 → 엄지 볼(모지구)로 밀기","아킬레스건 통증 시 중단
균형 불안정 시 반드시 지지물 잡기",,,
pushup_standard,스탠다드 푸쉬업,push,푸쉬업바,2,"대흉근, 전면삼각근","삼두근, 전거근","푸쉬업바를 바닥 위치(플랫)에 놓고 수행
가슴이 바에 거의 닿을 때까지 풀ROM
2초 내려가고 1초 올라오기 — 에센트릭 강조
팔꿈치 45도, 코어 긴장, 일직선 유지","팔꿈치 잠금(lockout) → 약간 구부린 상태 유지
속도 너무 빠름 → 템포 제어가 근비대 핵심
엉덩이 들림/처짐 → 코어 긴장 유지","어깨 부상 이력 있으면 가동범위 제한
손목 불편 시 푸쉬업바 각도 조절",pushup_incline,pushup_diamond,
dip_standard,딥스,push,치닝디핑,2,"삼두근, 하부 대흉근",전면삼각근,"자기 체중으로 수행 — 보조 없음
90도까지 내려감, 상체 약간 앞으로 기울임
올라올 때 삼두근 수축 느끼며 제어
팔꿈치 안쪽으로 유지, 벌어짐 주의","과도한 깊이(90도 이상) → 어깨 부상 위험
팔꿈치 벌어짐 → 몸에 붙여 유지
흔들림/반동 → 정적 제어로 수행","어깨 관절 부담 큼 — 통증 시 보조 딥스로 복귀
체중 80kg에서 바로 진입하면 부상 위험, L1 졸업 확인",dip_assisted,dip_weighted_light,
plank_side,사이드 플랭크,core,요가매트,2,"복사근(내/외), 복횡근","중둔근, 요방형근","팔꿈치를 어깨 아래 위치, 옆으로 누운 자세
골반을 들어 머리-어깨-골반-발 일직선
위쪽 손은 천장 또는 허리 위에 — 균형 보조
양쪽 번갈아 수행, 좌우 밸런스 확인","골반 처짐(sag) → 복사근 긴장 유지
몸 앞뒤로 기울어짐 → 일직선 유지, 거울 확인
어깨 으쓱 → 견갑골 안정화","어깨 통증 시 중단
좌우 차이가 10초 이상이면 약한 쪽 추가 세트",plank_standard,hanging_knee_raise,
kb_swing_16,케틀벨 스윙 16kg,swing,케틀벨16,2,"둔근, 햄스트링","코어, 전완근, 척추기립근","12kg와 동일한 힙힌지 메커닉스 적용
코어 안정성이 더 요구됨 — 복압 유지
그립 단단히, 4kg 증가분에 집중하여 제어
15-20회 반복, 폼이 무너지면 12kg로 복귀","12kg 폼 불안정한데 무리하게 진급 → 3x20 확인 후 진급
그립 풀림 → 초크 또는 타올 사용
허리 과부하 → 코어 긴장과 힙힌지 패턴 재확인","12kg에서 3x20 안정적 수행 후에만 진급
컨디션 안 좋은 날은 12kg 사용 OK",kb_swing_12,kb_swing_16_onhand,
pullup_negative,네거티브 턱걸이,pull,치닝디핑,2,"광배근, 이두근","전완근, 하부승모근","점프 또는 의자로 올라간 후 5초에 걸쳐 천천히 내려옴
완전히 팔 펴질 때까지 제어하며 하강(에센트릭)
어깨너비 오버핸드 그립, 코어 긴장
3-5회 x 3세트, 에센트릭 근비대 효과 극대","너무 빨리 내려옴(2초 미만) → 최소 5초 카운트
등 안 쓰이고 팔만 사용 → 견갑골 하방 유지
그립 풀림 → 악력 먼저 강화(데드행)","어깨/팔꿈치 통증 시 중단
높은 곳에서 뛰어내리지 말 것 — 천천히 착지",dead_hang,pullup_standard,
squat_bodyweight,맨몸 스쿼트,legs,맨몸,2,"대퇴사두근, 둔근","햄스트링, 코어","발끝 15-30도 바깥, 발 어깨너비
대퇴부 평행(또는 그 이하)까지 — 풀 ROM
무릎 발끝 방향 유지, 안쪽 모임 금지
가슴 들고, 엉덩이 뒤로 빼며 앉기","무릎 안쪽 모임(valgus) → 무릎 발끝 방향 유지
라운드백 → 가슴 들고 시선 정면
반동(바운스) 사용 → 정점에서 잠시 멈추기","급격한 하강 금지 — 제어된 속도
발목 가동성 부족 시 발뒤꿈치에 얇은 판 깔기",squat_band,squat_bulgarian,
pushup_diamond,다이아몬드 푸쉬업,push,맨몸,2,"삼두근, 내측 대흉근",전면삼각근,"양손 엄지+검지로 다이아몬드 모양 만들기
가슴 중앙 아래에 손 위치, 팔꿈치 몸에 밀착
가슴이 손등에 닿을 때까지 내려가기
삼두근 수축 느끼며 올라오기","팔꿈치 벌어짐 → 몸에 붙여 삼두 부하 유지
가동범위 부족 → 끝까지 내려가는 게 핵심
손목 통증 → 손가락 방향 조절","손목 부담 큼 — 통증 시 인클라인으로 난이도 하향
팔꿈치 과신전 주의",pushup_standard,pushup_decline,
dead_bug_alt,데드버그 교차,core,요가매트,2,"복횡근, 복직근","골반저근, 장요근","기본 데드버그에서 양쪽 교대로 빠르게 수행
허리 임프린트 절대 잃지 않기
반대편 팔+다리 동시에 뻗기, 좌우 교대
10-15회(한쪽 기준), 리듬감 있게","속도를 올리면서 허리 뜸 → 느리게 하더라도 임프린트 유지
호흡 멈춤 → 지속적 호흡 유지
다리 뻗는 높이 불규칙 → 발뒤꿈치 바닥 5cm 위 고정","허리 통증 시 기본 데드버그로 복귀
경추 부담 시 머리 아래 얇은 수건",dead_bug,hanging_knee_raise,
australian_row,오스트레일리안 로우,pull,치닝디핑,2,"광배근, 능형근, 후면삼각근","이두근, 하부승모근","딥스 바를 잡고 몸을 기울여 수평 당기기(인버티드 로우)
가슴을 바에 당기면서 견갑골 조이기
몸 일직선 유지 — 엉덩이 처짐 금지
2초 당기기 + 정점 1초 유지 + 2초 내려오기","엉덩이 처짐 → 코어 긴장으로 일직선
팔만 사용 → 견갑골 조이기(retraction) 의식
가동범위 부족 → 가슴이 바에 닿을 때까지","손목 통증 시 그립 방향 변경(언더핸드)
허리 통증 시 몸 각도를 더 세워서 난이도 하향",scap_pull,pullup_standard,
