id,name,category,equipment,level,muscles_primary,muscles_secondary,form_guide,common_mistakes,safety_notes,progression_from,progression_to,video_url
pushup_incline,인클라인 푸쉬업,push,푸쉬업바,1,"대흉근, 전면삼각근",삼두근,"푸쉬업바를 높은 위치(인클라인)에 놓고 수행
손 위치는 어깨너비보다 약간 넓게, 팔꿈치 45도 유지
몸통 일직선 유지 — 엉덩이 올라가거나 허리 처지지 않게
내려갈 때 2초(흡기), 올라올 때 1초(호기) 템포 유지","허리 처짐 → 코어 긴장 유지, 배꼽을 척추 쪽으로 당기기
팔꿈치 과도하게 벌림(90도) → 45도 유지로 어깨 보호
머리 숙임/들어올림 → 시선은 바닥 약간 앞, 경추 중립","손목 통증 시 즉시 중단 — 푸쉬업바로 손목 중립 유지
어깨 통증 시 가동범위(ROM) 줄여서 수행",,pushup_standard,
pushup_close_incline,클로즈그립 인클라인 푸쉬업,push,푸쉬업바,1,"삼두근, 내측 대흉근",전면삼각근,"푸쉬업바를 인클라인 위치에 놓되, 손 간격을 어깨너비보다 좁게
팔꿈치를 몸통에 최대한 붙이고 내려가기 — 삼두근 수축 집중
몸통 일직선 유지, 코어 긴장 상태에서 2초 내려가고 1초 올라오기
가슴이 아닌 삼두근에 부하가 가는 느낌에 집중","팔꿈치가 옆으로 벌어짐 → 몸통에 밀착시켜야 삼두 자극
손 간격 너무 좁아 손목 불편 → 어깨너비 70-80% 정도
허리 처짐 → 인클라인이라 부하 적지만 코어 긴장 필수","손목 통증 시 푸쉬업바 각도 조정 또는 기본 인클라인으로 대체
팔꿈치 통증 시 가동범위 줄이고 관절 워밍업 추가",,pushup_standard,
plank_standard,플랭크,core,요가매트,1,"복직근, 복횡근","척추기립근, 둔근","팔꿈치를 어깨 바로 아래에 위치, 전완 바닥에 평행
머리-어깨-골반-발목 일직선 유지 — 거울로 확인
배꼽을 척추 쪽으로 당기는 느낌(복횡근 활성화)
호흡 멈추지 않기 — 정상 호흡 유지하며 버티기","엉덩이 올라감(역V자) → 골반 낮춰 일직선 맞추기
허리 처짐(새우등) → 복근+둔근 동시 수축
어깨 으쓱 → 견갑골 하방, 목 길게","허리 통증 시 즉시 중단 — 통증은 근육통과 다름
20초부터 시작, 무리하지 않기",,plank_side,
dead_bug,데드버그,core,요가매트,1,"복횡근, 복직근","골반저근, 장요근","등을 대고 누워 양팔 천장, 양무릎 90도 들기
허리를 바닥에 완전히 밀착(임프린트) — 손이 못 들어가게
대각선으로 한 팔+반대 다리를 바닥 쪽으로 천천히 뻗기
허리 떨림 없이 제어하며 원위치, 좌우 교대","허리가 바닥에서 뜸 → 임프린트 유지가 핵심
너무 빠른 속도 → 한 반복 4초(2초 뻗기 + 2초 돌아오기)
호흡 멈춤 → 뻗을 때 호기, 돌아올 때 흡기","허리 통증 시 다리만 뻗기(팔은 고정)
요추 불안정 있으면 가동범위를 50%로 제한",,dead_bug_alt,
lying_knee_raise,라잉 니레이즈,core,요가매트,1,"복직근(하부), 장요근","복횡근, 고관절 굴곡근","등을 바닥에 대고 누워 양손은 엉덩이 옆 또는 매트 밑
허리를 바닥에 밀착시킨 상태에서 무릎을 가슴 쪽으로 당기기
올릴 때 복근 수축 느끼며 골반 살짝 말기(posterior tilt)
내릴 때 3초에 걸쳐 천천히 제어하며 내리기 — 발이 바닥에 닿기 직전 멈춤","허리가 바닥에서 뜸 → 가동범위 줄여서라도 허리 밀착 유지
반동으로 다리 올림 → 느리게 제어, 복근으로만 당기기
목에 힘 들어감 → 목은 편안하게, 시선 천장","허리 통증 시 가동범위를 50%로 줄이거나 중단
요추 디스크 이력 있으면 의사 상담 후 수행",,lying_leg_raise,
scap_pull,견갑골 풀,pull,치닝디핑,1,"하부승모근, 능형근",광배근,"매달리기 자세에서 팔을 구부리지 않고 수행
견갑골만 아래+뒤로 당겨 몸이 2-3cm 올라감
정점에서 2초 유지 — 등 근육 수축 느끼기
천천히 풀어 매달리기로 복귀, 10회 반복","팔을 구부려 올라감 → 팔은 완전히 편 상태 유지
어깨 으쓱 → 견갑골 하방 의식적 유지
반동 사용 → 정적 수축으로만 수행","어깨 충돌 증후군 증상 시 중단
악력 부족하면 데드행 시간을 먼저 늘리기",dead_hang,pullup_negative,
dead_hang,매달리기,pull,치닝디핑,1,"전완근, 악력","광배근, 회전근개","어깨너비 오버핸드 그립으로 매달림
견갑골 하방 유지 — 어깨가 귀에 닿지 않게
코어 살짝 긴장, 몸 흔들림 최소화
30초 목표, 첫 주는 15초부터 시작","어깨 으쓱(passive hang) → 견갑골 하방(active hang)
몸 흔들림(kipping) → 정적 자세 유지
그립 너무 좁거나 넓음 → 어깨너비가 기본","손목/어깨 통증 시 즉시 내려옴
발 아래 매트 필수 — 미끄러짐 대비",,scap_pull,
inverted_row,인버티드 로우,pull,치닝디핑,1,"광배근, 능형근, 후면삼각근","이두근, 하부승모근","딥스 스테이션 바 아래에 누워서 오버핸드 그립으로 잡기
발뒤꿈치를 바닥에 놓고 몸 일직선 유지하며 가슴을 바에 당기기
견갑골 후인(retraction) 집중 — 등 근육으로 당기는 느낌
2초 당기기 + 정점 1초 유지 + 2초 내려오기","엉덩이 처짐 → 코어 긴장으로 머리-어깨-골반-발 일직선
팔로만 당김 → 견갑골 조이기(retraction) 먼저 의식
가동범위 부족 → 가슴이 바에 닿을 때까지 끌어당기기","손목 통증 시 그립 방향 변경(언더핸드)
허리 통증 시 몸 각도를 더 세워서(무릎 구부려) 난이도 하향",,inverted_row_elevated,
squat_band,밴드 스쿼트,legs,밴드,1,"대퇴사두근, 둔근","햄스트링, 내전근, 중둔근","밴드를 무릎 위(대퇴부 하단)에 위치
발 어깨너비, 발끝 15-30도 바깥 방향
무릎이 밴드에 밀리지 않게 바깥으로 밀기(외전 활성화)
대퇴부 평행까지 내려간 후 둔근으로 올라오기","무릎 안쪽 모임(knee valgus) → 밴드에 저항하며 무릎 밖으로
상체 과도한 전경 → 가슴 들고 시선 정면
발뒤꿈치 들림 → 발바닥 전체로 균등 하중","무릎 통증 시 가동범위 줄임(하프 스쿼트)
균형 불안정 시 벽이나 의자 잡고 수행",,squat_bodyweight,
glute_bridge_band,밴드 힙 브릿지,legs,"밴드, 요가매트",1,둔근,"햄스트링, 코어","밴드를 무릎 위에 위치, 등은 매트에 누움
발은 어깨너비, 무릎 90도, 발바닥 바닥에 완전 밀착
둔근 수축으로 골반 들기 — 어깨-골반-무릎 일직선
정점에서 2초 유지 후 천천히 내리기","허리 과신전(과도한 아치) → 골반 후방경사 유지
무릎 안쪽 모임 → 밴드에 저항하며 무릎 바깥 밀기
둔근 대신 햄스트링 사용 → 발을 몸에 더 가까이","허리 통증 시 가동범위 줄이거나 밴드 제거
경추 부담 없도록 턱 당기고 목 중립 유지",,glute_bridge_single,
