date,seq,day_label,order,exercise_id,sets,reps,rest_sec,promotion_criteria,note
2026-06-29,1,Day 1 - Push A,1,pushup_incline,3,8,45,3x15 안정 -> pushup_standard,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 밀기+코어. 적당 강도(여유 2-3회 남기기). | 팔꿈치 45도, 가슴이 바에 닿을 듯이. 여유 있게."
2026-06-29,1,Day 1 - Push A,2,plank_standard,3,20초,30,3x45초 -> plank_side,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 밀기+코어. 적당 강도(여유 2-3회 남기기). | 배꼽을 척추로, 정상 호흡."
2026-06-29,1,Day 1 - Push A,3,dead_bug,3,8,30,3x15 -> dead_bug_alt,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 밀기+코어. 적당 강도(여유 2-3회 남기기). | 허리 바닥 밀착, 반대 팔-다리 교차."
2026-06-30,2,Day 2 - Pull A,1,scap_pull,3,5,45,3x12 -> pullup_negative,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 당기기+스윙. 적당 강도. | 팔 펴고 견갑골만 아래로."
2026-06-30,2,Day 2 - Pull A,2,inverted_row,3,6,45,3x12 -> 발 올린 로우,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 당기기+스윙. 적당 강도. | 견갑골 후인 먼저, 가슴을 바로. 몸 각도로 난이도 조절."
2026-06-30,2,Day 2 - Pull A,3,kb_swing_12,3,10,45,3x20 안정 -> kb_swing_16,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 당기기+스윙. 적당 강도. | 힙힌지가 핵심 — 팔이 아닌 골반."
2026-07-01,3,Day 3 - Legs,1,squat_band,3,15,45,3x25 -> goblet_squat_12,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 하체. 적당 강도. | 밴드 저항하며 무릎 바깥, 풀ROM."
2026-07-01,3,Day 3 - Legs,2,kb_deadlift_12,3,8,45,폼 일관 -> 스윙 본격화,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 하체. 적당 강도. | 힙힌지: 엉덩이 뒤로, 등 중립."
2026-07-01,3,Day 3 - Legs,3,calf_raise,3,20,30,,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 하체. 적당 강도. | 정점 2초, 3초 하강."
2026-07-02,4,Day 4 - Push B,1,pushup_close_incline,3,6,45,3x12 -> pushup_diamond,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 밀기+코어. 적당 강도. | 팔꿈치 몸통 밀착, 삼두 집중."
2026-07-02,4,Day 4 - Push B,2,glute_bridge_band,3,12,30,3x20 -> 싱글레그,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 밀기+코어. 적당 강도. | 정점 2초, 둔근 squeeze."
2026-07-02,4,Day 4 - Push B,3,lying_knee_raise,3,10,30,3x15 -> 레그레이즈,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 밀기+코어. 적당 강도. | 허리 밀착, 3초 하강."
2026-07-03,5,Day 5 - Pull B,1,dead_hang,3,15초,45,3x30초 -> 악력 충분,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 당기기+스윙. 적당 강도. | 견갑골 하방, 어깨 으쓱 금지."
2026-07-03,5,Day 5 - Pull B,2,inverted_row,3,6,45,,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 당기기+스윙. 적당 강도. | 견갑골 후인 먼저, 가슴을 바로. 몸 각도로 난이도 조절."
2026-07-03,5,Day 5 - Pull B,3,kb_swing_12,3,10,45,,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 20분. 당기기+스윙. 적당 강도. | 힙힌지가 핵심 — 팔이 아닌 골반."
2026-07-04,6,Day 6 - Full/Skill,1,pushup_incline,3,8,45,,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 40분. 전신+스킬. 약간 길게, 그래도 여유 있게. | 팔꿈치 45도, 가슴이 바에 닿을 듯이. 여유 있게."
2026-07-04,6,Day 6 - Full/Skill,2,inverted_row,3,6,45,,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 40분. 전신+스킬. 약간 길게, 그래도 여유 있게. | 견갑골 후인 먼저, 가슴을 바로. 몸 각도로 난이도 조절."
2026-07-04,6,Day 6 - Full/Skill,3,squat_band,3,15,45,,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 40분. 전신+스킬. 약간 길게, 그래도 여유 있게. | 밴드 저항하며 무릎 바깥, 풀ROM."
2026-07-04,6,Day 6 - Full/Skill,4,glute_bridge_band,3,12,30,,"W1: 폼 학습 — 매일 가볍게, 패턴 익히기 | 40분. 전신+스킬. 약간 길게, 그래도 여유 있게. | 정점 2초, 둔근 squeeze."
