date,day_label,order,exercise_id,sets,reps,rest_sec,promotion_criteria,note
2026-04-08,Day B — Pull+Legs,1,dead_hang,3,15초,60,3세트x30초 안정 수행 3회 달성 → pullup_negative 진급,첫 주! 기본 폼 학습이 최우선. 무리하지 말고 정확하게. | 15초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-04-08,Day B — Pull+Legs,2,squat_band,3,20,60,3세트x25회 안정 수행 3회 달성 → squat_bodyweight 진급,20회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-04-08,Day B — Pull+Legs,3,glute_bridge_band,3,12,45,3세트x20회 → 싱글레그 브릿지 진급,12회. 정점에서 2초 유지. 둔근 squeeze.
2026-04-08,Day B — Pull+Legs,4,kb_swing_12,3,12,60,,12회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-04-09,REST,,,,,,,1주차 중간 휴식. 근육통 있으면 폼롤링/스트레칭.
2026-04-10,REST,,,,,,,주말 확장 세션 전날 휴식. 에너지 충전. 단백질 섭취 신경쓰기.
2026-04-11,Day A+ — Push+Core,1,pushup_incline,4,8,60,3세트x15회 안정 수행 3회 달성 → pushup_standard 진급,"첫 주! 기본 폼 학습이 최우선. 무리하지 말고 정확하게. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 8회. 팔꿈치 45도, 가슴이 바에 닿을 듯이."
2026-04-11,Day A+ — Push+Core,2,dip_assisted,4,5,60,3세트x8회 + 어깨 통증 없음 → dip_standard 진급,5회. 어깨 으쓱 금지. 90도까지만.
2026-04-11,Day A+ — Push+Core,3,plank_standard,4,20초,30,3세트x45초 안정 → plank_side 진급,20초. 배꼽을 척추 쪽으로 당기며 버티기.
2026-04-11,Day A+ — Push+Core,4,kb_swing_12,4,12,60,3세트x20회 + 폼 일관 → kb_swing_16 진급,12회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-04-11,Day A+ — Push+Core,5,pushup_wide_incline,3,6,60,,6회. 와이드 그립으로 가슴 스트레칭 극대화.
2026-04-11,Day A+ — Push+Core,6,dead_bug,3,8,45,,8회(한쪽). 허리 바닥 밀착 유지가 핵심.
2026-04-12,Day B+ — Pull+Legs,1,dead_hang,4,15초,60,,첫 주! 기본 폼 학습이 최우선. 무리하지 말고 정확하게. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 15초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-04-12,Day B+ — Pull+Legs,2,squat_band,4,20,60,,20회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-04-12,Day B+ — Pull+Legs,3,glute_bridge_band,4,12,45,,12회. 정점에서 2초 유지. 둔근 squeeze.
2026-04-12,Day B+ — Pull+Legs,4,kb_swing_12,4,12,60,,12회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-04-12,Day B+ — Pull+Legs,5,scap_pull,3,6,60,,6회. 팔 구부리지 말고 견갑골만 아래로 당기기.
2026-04-12,Day B+ — Pull+Legs,6,calf_raise,3,20,30,,"20회. 정점 2초 유지, 3초에 걸쳐 내려오기."
2026-04-13,REST,,,,,,,2주차 시작. 컨디션 조절하세요.
2026-04-14,Day A — Push+Core,1,pushup_incline,3,10,60,,"2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. | 10회. 팔꿈치 45도, 가슴이 바에 닿을 듯이."
2026-04-14,Day A — Push+Core,2,dip_assisted,3,7,60,,7회. 어깨 으쓱 금지. 90도까지만.
2026-04-14,Day A — Push+Core,3,plank_standard,3,25초,30,,25초. 배꼽을 척추 쪽으로 당기며 버티기.
2026-04-14,Day A — Push+Core,4,kb_swing_12,3,14,60,,14회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-04-15,Day B — Pull+Legs,1,dead_hang,3,20초,60,,2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. | 20초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-04-15,Day B — Pull+Legs,2,squat_band,3,22,60,,22회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-04-15,Day B — Pull+Legs,3,glute_bridge_band,3,14,45,,14회. 정점에서 2초 유지. 둔근 squeeze.
2026-04-15,Day B — Pull+Legs,4,kb_swing_12,3,14,60,,14회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-04-16,REST,,,,,,,2주차 중간 휴식. 근육통 있으면 폼롤링/스트레칭.
2026-04-17,REST,,,,,,,주말 확장 세션 전날 휴식. 에너지 충전. 단백질 섭취 신경쓰기.
2026-04-18,Day A+ — Push+Core,1,pushup_incline,4,10,60,,"2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 10회. 팔꿈치 45도, 가슴이 바에 닿을 듯이."
2026-04-18,Day A+ — Push+Core,2,dip_assisted,4,7,60,,7회. 어깨 으쓱 금지. 90도까지만.
2026-04-18,Day A+ — Push+Core,3,plank_standard,4,25초,30,,25초. 배꼽을 척추 쪽으로 당기며 버티기.
2026-04-18,Day A+ — Push+Core,4,kb_swing_12,4,14,60,,14회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-04-18,Day A+ — Push+Core,5,pushup_wide_incline,3,8,60,,8회. 와이드 그립으로 가슴 스트레칭 극대화.
2026-04-18,Day A+ — Push+Core,6,dead_bug,3,10,45,,10회(한쪽). 허리 바닥 밀착 유지가 핵심.
2026-04-19,Day B+ — Pull+Legs,1,dead_hang,4,20초,60,,2주차 볼륨 증가. 지난주 대비 +2회/+5초 — 적응 중. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 20초. 견갑골 하방 유지. 어깨 으쓱 절대 금지.
2026-04-19,Day B+ — Pull+Legs,2,squat_band,4,22,60,,22회. 밴드에 저항하며 무릎 바깥으로 밀기.
2026-04-19,Day B+ — Pull+Legs,3,glute_bridge_band,4,14,45,,14회. 정점에서 2초 유지. 둔근 squeeze.
2026-04-19,Day B+ — Pull+Legs,4,kb_swing_12,4,14,60,,14회. 힙힌지가 핵심 — 팔이 아닌 골반.
2026-04-19,Day B+ — Pull+Legs,5,scap_pull,3,8,60,,8회. 팔 구부리지 말고 견갑골만 아래로 당기기.
2026-04-19,Day B+ — Pull+Legs,6,calf_raise,3,22,30,,"22회. 정점 2초 유지, 3초에 걸쳐 내려오기."
2026-04-20,REST,,,,,,,3주차(피크 주간) 시작 전 휴식. 컨디션 만전으로!
2026-04-21,Day A — Push+Core,1,pushup_incline,3,12,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. | 12회! 진급 기준 향해 전진. 마지막 2회 폼 유지.
2026-04-21,Day A — Push+Core,2,dip_assisted,3,9,60,,9회. 삼두근 피로 관리. 세트 간 충분히 쉬기.
2026-04-21,Day A — Push+Core,3,plank_standard,3,30초,30,,30초. 코어 안정성 테스트. 엉덩이 흔들림 없이.
2026-04-21,Day A — Push+Core,4,kb_swing_12,3,16,60,,16회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-04-22,Day B — Pull+Legs,1,dead_hang,3,25초,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. | 25초! 전완근 불타는 느낌. 견갑골 하방 유지.
2026-04-22,Day B — Pull+Legs,2,squat_band,3,24,60,,24회. 무릎-발끝 정렬 확인. 진급 기준 도전!
2026-04-22,Day B — Pull+Legs,3,glute_bridge_band,3,16,45,,16회. 골반 들어올림 최대. 둔근 수축 극대화.
2026-04-22,Day B — Pull+Legs,4,kb_swing_12,3,16,60,,16회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-04-23,REST,,,,,,,피크 주간 중간 휴식. 피로 누적 체크. 통증 vs 근육통 구분.
2026-04-24,REST,,,,,,,피크 주간 내일 주말 확장 세션! 숙면 필수.
2026-04-25,Day A+ — Push+Core,1,pushup_incline,4,12,60,,3주차 피크 주간! 최고 볼륨. 집중력 최대. 주말 확장 세션 — 추가 볼륨으로 성장 자극. | 12회! 진급 기준 향해 전진. 마지막 2회 폼 유지.
2026-04-25,Day A+ — Push+Core,2,dip_assisted,4,9,60,,9회. 삼두근 피로 관리. 세트 간 충분히 쉬기.
2026-04-25,Day A+ — Push+Core,3,plank_standard,4,30초,30,,30초. 코어 안정성 테스트. 엉덩이 흔들림 없이.
2026-04-25,Day A+ — Push+Core,4,kb_swing_12,4,16,60,,16회. 폼 일관성 확인. 정점에서 둔근 squeeze.
2026-04-25,Day A+ — Push+Core,5,pushup_wide_incline,3,10,60,,10회. 가슴 외측 자극. 풀ROM 끝까지.
2026-04-25,Day A+ — Push+Core,6,dead_bug,3,12,45,,"12회. 속도 일정, 허리 임프린트 절대 유지."
